id;price;date;client;seller
1;2849;2021-11-19;approach Polarised;Facilitator
2;99553;2021-11-19;B2B;Operations orchestrate Estates
3;63291;2021-11-19;implement Izrael;Engineer Fresh mission-critical
4;36557;2021-11-19;Automotive;Loan Strategist
5;76616;2021-11-19;compressing solutions;withdrawal incentivize high-level
6;2755;2021-11-19;digital Gourde Tools;Awesome Bedfordshire JBOD
7;89810;2021-11-19;withdrawal Cloned;clear-thinking Fish Czad
8;79154;2021-11-19;olive overriding;monitor
9;41793;2021-11-19;invoice Soap connect;JSON
10;57971;2021-11-19;drive SSL;mesh
